stars,latitude,longitude,name,res_id
133,33.449233,-112.065458,Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ
118,33.4916953,-112.0734977,FEZ,EWMwV5V9BxNs_U6nNVMeqw
104,33.45496,-112.079908,Cibo,V1nEpIRmEa1768oj_tuxeQ
93,33.5092611,-112.0718179,St Francis Restaurant,uKSX1n1RoAzGq4bV8GPHVg
90,33.5112348,-111.9955879,Chelsea's Kitchen,3oZcTGb_oDHGwZFiP-7kxQ
84,33.502191,-111.996292,Postino Arcadia,SDwYQ6eSu1htn8vHWv128g
83,33.4914048761,-112.079134583,Gallo Blanco,-sC66z4SO3tR7nFCjfQwuQ
80,33.5094461,-112.0403946,The Parlor,pwpl-rxwNRQdgqFz_-qMPg
76,33.5005719,-112.0741143,Lux,aRkYtXfmEKYG-eTDf_qUsw
71,33.560853,-112.116198,Bobby Q,rZbHg4ACfN3iShdsT47WKQ
71,33.4951414,-112.0012935,Beckett's Table,I4bSn5gXsHuSPu7L-d_8nQ
71,33.4357027,-112.0737893,Lo-Lo's Chicken & Waffles,K8pM6qQdYu5h6buRE1-_sw
65,33.5062078,-112.0739142,Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA
65,33.4566960574,-112.072327137,Matt's Big Breakfast,ntN85eu27C04nwyPa8IHtw
62,33.5100544,-112.0146409,Delux,OFBJtqWGSx6n6CchtVmoRw
60,33.5136971882,-112.073411923,Windsor,FURgKkRFtMK5yKbjYZVVwA
58,33.5126276,-112.0740912,Postino Central,3n9mSKySEv3G03YjcU-YOQ
58,33.5102068,-112.0272041,True Food Kitchen,qjmCVYkwP-HDa35jwYucbQ
57,33.626933,-112.100731,Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA
56,33.495018,-111.975898,O.H.S.O. Eatery + nanoBrewery,wNsmt1hF1uv3YvbwXZMAoQ
53,33.5023126257,-111.995752167,La Grande Orange Grocery,R8VwdLyvsp9iybNqRvm94g
52,33.4473356,-112.0734239,The Arrogant Butcher,Xq9tkiHhyN_aBFswFeGLvA
51,33.4948197,-111.9798208,Over Easy,Y-9dJvw-J2d9QKfuL7mKgA
50,33.477031,-112.073616,Switch Restaurant & Wine Bar,IVc23uY-36WUNYoIbz42Fg
48,33.470887,-112.064765,America's Taco Shop,3l72FflaaeI0tWEAWN3-gQ
47,33.5386352,-112.0982917,Tacos Atoyac,wN_wAXWg8W94v04eqijy6g
47,33.5243311,-112.047508,Dick's Hideaway,9BJ5h9X1krpXFjKj0a6wbg
46,33.502429,-111.995512,La Grande Orange Pizzeria,7SO_rX1F6rQEl-5s3wZxgQ
45,33.510225,-112.028138,Zinburger,cp39VURFby4A6u9m2It8jg
45,33.5070953369,-112.074485779,Maizie's Cafe & Bistro,AaKlegu7gmOCD4rEESF76Q
45,33.449228,-112.072853,Hanny's,6imLt53br7SJ3av07jjH7w
44,33.494489,-111.995106,The Vig,FqzgT9Y-Yu7jiWdHnGW-kQ
42,33.4772365,-112.0734835,Durant's,cN6aBxe2mQvrQlzk26LyRQ
41,33.5708369,-112.0655987,Los Reyes De La Torta,bzDs0u8I-z231QVdIQWkrA
40,33.530335,-112.047101,Rokerij,5kRug3bEienrpovtPRVVwg
40,33.5098142,-112.0610062,Cherryblossom Noodle Cafe,AkOruz5CrCxUmXe1p_WoRg
40,33.3480616,-111.9820214,Los Taquitos,rDvz5jX65gpfONFu7er9Tw
39,33.655566,-111.92641,The White Chocolate Grill,XWvht_1ZLdK7EHJ3jo4q0g
39,33.5219028,-112.0639456,Fuego Bistro,hfl62LX14YqNpG0g0Tj6_Q
38,33.5092556,-112.0378823,Snooze AM Eatery,qT4w8n27RBQ_slz_FiK0CQ
38,33.5006213,-112.0743113,Pane Bianco,-AAig9FG0s8gYE4f8GfowQ
37,33.513539,-112.074195,Federal Pizza,m9haUi2_1lHR2eAKBhKwDg
37,33.3044612,-111.9945753,Pomegranate Cafe,lVkDZZ8sTafPlq7f1i5row
36,33.511665,-112.065323,Ticoz Resto-Bar,FUI-hWH_bpis7AKZTWenUQ
36,33.510034,-112.0241743,Hillstone,zMa6YoEekpABg1HZnnTZdg
36,33.4576585,-112.0723168,Matt's Big Breakfast,4X_XAOeMw7AFkYhg3NINJA
36,33.4448019849,-112.072117722,Alice Cooper'stown,oCA2OZcd_Jo_ggVmUx3WVw
35,33.472853,-112.056065,Tuck Shop,rQ4z0EStSZE4acgkne6Hmg
33,33.5100242,-112.0152854,noca,DcrM4hwDcU2G6vuh2cnaYQ
33,33.474229,-112.064787,Wy-Knot Cafe,GbEOmf5k73r_UJWjchrHOg
33,33.4570541765,-112.071567245,Angels Trumpet Ale House,41j3GB7M-Lwq284Pfb9zgw
33,33.4315119,-112.0561119,Carolina's Mexican Food,d52zg-S0o940WUCK-nNiKw
32,33.5092093,-111.9885861,Havana Cafe,yJr24Yy1K6bt2G9fX3_zPA
32,33.469201,-112.047393,La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA
31,33.683323,-112.092428,Pork on a Fork,yYbd9P1KmlPSKmQxo68n_g
31,33.677854,-111.978579,Tryst Cafe,vvMR0jgDoBA-g1XgZy8sEg
31,33.595874,-112.134448,Rocket Burger & Subs,F8q_9PUl-Lwjj9xIRPArcg
31,33.587766,-112.115899,Pappadeaux Seafood Kitchen,PmPOuRvuN3CoNOi1nBj_TQ
31,33.4719849,-112.064757,Rice Paper,jtzhY-P4H6WSYpv5rWhxtw
30,33.5997402,-111.9872611,Yasu Sushi Bistro,KBG28p3lGX17hOPoHhq5PQ
30,33.5376161926,-112.064525648,Sierra Bonita Grill,DDnmNTvIIQu2t3WZ2EQx-w
30,33.5097278,-111.9952351,The Grind,r-a-Cn9hxdEnYTtVTB5bMQ
30,33.4779339657,-112.073523642,Wild Thaiger,KPoTixdjoJxSqRSEApSAGg
29,33.597213,-112.03605,Carolina's,oyzxIqrtzu-8sWlPhJVsLw
29,33.5242756,-112.0474713,The Vig Uptown,WS1z1OAR0tRl4FsjdTGUFQ
29,33.509608,-112.025723,Stingray Sushi,wNUea3IXZWD63bbOQaOH-g
28,33.610554,-112.013072,Original Breakfast House,t80qleqEIqIyekB95IrAOA
28,33.5754755,-112.0651592,Scramble A Breakfast Joint,XHr5mXFgobOHoxbPJxmYdg
28,33.5102336367,-112.027493779,Seasons 52,-h-q6zTIdPlkz9BDP11sBg
28,33.508118,-112.027582,AMC Dine-in Theatres Esplanade 14,EmlgWjs1ZzZEpDjZCSPLmw
28,33.4977417,-112.0739754,George & Dragon Restaurant,3xEB9FyFXolq1b_Qn_BFtg
28,33.4587486,-112.0714986,Carly's Bistro,zmFc8M-hS4uuyY0hklIpoQ
28,33.3711363,-111.9740268,Rustler's Rooste,wZwZcte4lcbu51NOzCjWbQ
27,33.7134575,-112.1139493,Mellow Mushroom,VY_tvNUCCXGXQeSvJl757Q
27,33.52265,-112.0475118,Phoenix City Grille,Pfb6VOIiroqDWOebfgWGPQ
27,33.4656999629,-112.082265575,Vovomeena,1vl4-5il_LGtDRxUCy9ldw
