stars,latitude,longitude,name,res_id
1066,33.449233,-112.065458,Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ
917,33.4916953,-112.0734977,FEZ,EWMwV5V9BxNs_U6nNVMeqw
882,33.45496,-112.079908,Cibo,V1nEpIRmEa1768oj_tuxeQ
797,33.502191,-111.996292,Postino Arcadia,SDwYQ6eSu1htn8vHWv128g
710,33.4914048761,-112.079134583,Gallo Blanco,-sC66z4SO3tR7nFCjfQwuQ
654,33.5092611,-112.0718179,St Francis Restaurant,uKSX1n1RoAzGq4bV8GPHVg
633,33.560853,-112.116198,Bobby Q,rZbHg4ACfN3iShdsT47WKQ
631,33.5005719,-112.0741143,Lux,aRkYtXfmEKYG-eTDf_qUsw
625,33.4566960574,-112.072327137,Matt's Big Breakfast,ntN85eu27C04nwyPa8IHtw
613,33.5112348,-111.9955879,Chelsea's Kitchen,3oZcTGb_oDHGwZFiP-7kxQ
608,33.5062078,-112.0739142,Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA
605,33.4357027,-112.0737893,Lo-Lo's Chicken & Waffles,K8pM6qQdYu5h6buRE1-_sw
591,33.5094461,-112.0403946,The Parlor,pwpl-rxwNRQdgqFz_-qMPg
572,33.626933,-112.100731,Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA
527,33.5102068,-112.0272041,True Food Kitchen,qjmCVYkwP-HDa35jwYucbQ
512,33.5126276,-112.0740912,Postino Central,3n9mSKySEv3G03YjcU-YOQ
509,33.5100544,-112.0146409,Delux,OFBJtqWGSx6n6CchtVmoRw
485,33.5023126257,-111.995752167,La Grande Orange Grocery,R8VwdLyvsp9iybNqRvm94g
474,33.5136971882,-112.073411923,Windsor,FURgKkRFtMK5yKbjYZVVwA
467,33.4473356,-112.0734239,The Arrogant Butcher,Xq9tkiHhyN_aBFswFeGLvA
457,33.4951414,-112.0012935,Beckett's Table,I4bSn5gXsHuSPu7L-d_8nQ
446,33.477031,-112.073616,Switch Restaurant & Wine Bar,IVc23uY-36WUNYoIbz42Fg
423,33.5098142,-112.0610062,Cherryblossom Noodle Cafe,AkOruz5CrCxUmXe1p_WoRg
419,33.469201,-112.047393,La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA
404,33.495018,-111.975898,O.H.S.O. Eatery + nanoBrewery,wNsmt1hF1uv3YvbwXZMAoQ
385,33.510225,-112.028138,Zinburger,cp39VURFby4A6u9m2It8jg
376,33.587766,-112.115899,Pappadeaux Seafood Kitchen,PmPOuRvuN3CoNOi1nBj_TQ
372,33.494489,-111.995106,The Vig,FqzgT9Y-Yu7jiWdHnGW-kQ
371,33.449228,-112.072853,Hanny's,6imLt53br7SJ3av07jjH7w
367,33.4948197,-111.9798208,Over Easy,Y-9dJvw-J2d9QKfuL7mKgA
364,33.502429,-111.995512,La Grande Orange Pizzeria,7SO_rX1F6rQEl-5s3wZxgQ
360,33.4772365,-112.0734835,Durant's,cN6aBxe2mQvrQlzk26LyRQ
355,33.655566,-111.92641,The White Chocolate Grill,XWvht_1ZLdK7EHJ3jo4q0g
