stars,latitude,longitude,name,res_id
388,33.449233,-112.065458,Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ
311,33.4916953,-112.0734977,FEZ,EWMwV5V9BxNs_U6nNVMeqw
301,33.45496,-112.079908,Cibo,V1nEpIRmEa1768oj_tuxeQ
270,33.502191,-111.996292,Postino Arcadia,SDwYQ6eSu1htn8vHWv128g
253,33.4914048761,-112.079134583,Gallo Blanco,-sC66z4SO3tR7nFCjfQwuQ
231,33.560853,-112.116198,Bobby Q,rZbHg4ACfN3iShdsT47WKQ
212,33.5112348,-111.9955879,Chelsea's Kitchen,3oZcTGb_oDHGwZFiP-7kxQ
210,33.5092611,-112.0718179,St Francis Restaurant,uKSX1n1RoAzGq4bV8GPHVg
208,33.4566960574,-112.072327137,Matt's Big Breakfast,ntN85eu27C04nwyPa8IHtw
201,33.5005719,-112.0741143,Lux,aRkYtXfmEKYG-eTDf_qUsw
189,33.4357027,-112.0737893,Lo-Lo's Chicken & Waffles,K8pM6qQdYu5h6buRE1-_sw
186,33.626933,-112.100731,Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA
184,33.5102068,-112.0272041,True Food Kitchen,qjmCVYkwP-HDa35jwYucbQ
181,33.5094461,-112.0403946,The Parlor,pwpl-rxwNRQdgqFz_-qMPg
179,33.5062078,-112.0739142,Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA
178,33.5126276,-112.0740912,Postino Central,3n9mSKySEv3G03YjcU-YOQ
172,33.5100544,-112.0146409,Delux,OFBJtqWGSx6n6CchtVmoRw
160,33.5023126257,-111.995752167,La Grande Orange Grocery,R8VwdLyvsp9iybNqRvm94g
160,33.4473356,-112.0734239,The Arrogant Butcher,Xq9tkiHhyN_aBFswFeGLvA
152,33.5136971882,-112.073411923,Windsor,FURgKkRFtMK5yKbjYZVVwA
150,33.477031,-112.073616,Switch Restaurant & Wine Bar,IVc23uY-36WUNYoIbz42Fg
149,33.495018,-111.975898,O.H.S.O. Eatery + nanoBrewery,wNsmt1hF1uv3YvbwXZMAoQ
142,33.4951414,-112.0012935,Beckett's Table,I4bSn5gXsHuSPu7L-d_8nQ
142,33.469201,-112.047393,La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA
132,33.502429,-111.995512,La Grande Orange Pizzeria,7SO_rX1F6rQEl-5s3wZxgQ
132,33.494489,-111.995106,The Vig,FqzgT9Y-Yu7jiWdHnGW-kQ
128,33.5098142,-112.0610062,Cherryblossom Noodle Cafe,AkOruz5CrCxUmXe1p_WoRg
126,33.510225,-112.028138,Zinburger,cp39VURFby4A6u9m2It8jg
